
****** xsim v2025.2 (64-bit)
  **** SW Build 6299465 on Fri Nov 14 19:35:11 GMT 2025
  **** IP Build 6300035 on Fri Nov 14 10:48:45 MST 2025
  **** SharedData Build 6298862 on Thu Nov 13 04:50:51 MST 2025
  **** Start of session at: Thu May 14 09:32:23 2026
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2025 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/YH_rv_cpu_dhrystone_rv32_zmmul_zbc_zicond_xthead_idbr_tb_snapshot/xsim_script.tcl
# xsim {YH_rv_cpu_dhrystone_rv32_zmmul_zbc_zicond_xthead_idbr_tb_snapshot} -testplusarg max_cycles=250000000 -testplusarg dhrystone_runs=1000 -testplusarg profile_pc -autoloadwcfg -runall
Time resolution is 1 ps
run -all
Starting Dhrystone simulation (MAX_CYCLES=250000000)...
DHRYSTONE_RUNS=1000
Microseconds for one run through Dhrystone: 4
Dhrystones per Second:                      5174
PROFILE_PC_BEGIN cycles=415013
PROFILE_PC pc=0000044c count=1000
PROFILE_PC pc=00000450 count=1000
PROFILE_PC pc=00000454 count=1000
PROFILE_PC pc=00000458 count=2000
PROFILE_PC pc=0000045c count=2000
PROFILE_PC pc=00000460 count=2000
PROFILE_PC pc=00000464 count=2000
PROFILE_PC pc=00000468 count=2000
PROFILE_PC pc=0000046c count=2000
PROFILE_PC pc=00000470 count=2000
PROFILE_PC pc=00000474 count=2000
PROFILE_PC pc=00000478 count=2000
PROFILE_PC pc=000004ac count=1000
PROFILE_PC pc=000004b0 count=1000
PROFILE_PC pc=000004b4 count=1000
PROFILE_PC pc=000004b8 count=1000
PROFILE_PC pc=000004bc count=1000
PROFILE_PC pc=000004c0 count=1000
PROFILE_PC pc=000004c4 count=1000
PROFILE_PC pc=000004c8 count=1000
PROFILE_PC pc=000004cc count=1000
PROFILE_PC pc=000004d0 count=1000
PROFILE_PC pc=000004d4 count=1000
PROFILE_PC pc=000004d8 count=1
PROFILE_PC pc=000008c4 count=3000
PROFILE_PC pc=000008c8 count=3000
PROFILE_PC pc=000008cc count=3000
PROFILE_PC pc=000008d0 count=3000
PROFILE_PC pc=000008d4 count=1000
PROFILE_PC pc=000008d8 count=1000
PROFILE_PC pc=000008dc count=1000
PROFILE_PC pc=000008e0 count=1000
PROFILE_PC pc=000008e4 count=1000
PROFILE_PC pc=000008e8 count=1000
PROFILE_PC pc=000008ec count=1000
PROFILE_PC pc=000008f0 count=1000
PROFILE_PC pc=000008f4 count=1000
PROFILE_PC pc=000008f8 count=1000
PROFILE_PC pc=000008fc count=1000
PROFILE_PC pc=00000900 count=1000
PROFILE_PC pc=00000904 count=1000
PROFILE_PC pc=00000908 count=1000
PROFILE_PC pc=0000090c count=1000
PROFILE_PC pc=00000910 count=1000
PROFILE_PC pc=00000914 count=1000
PROFILE_PC pc=00000918 count=1000
PROFILE_PC pc=0000091c count=1000
PROFILE_PC pc=00000920 count=1000
PROFILE_PC pc=00000924 count=1000
PROFILE_PC pc=00000928 count=1000
PROFILE_PC pc=0000092c count=1000
PROFILE_PC pc=00000930 count=1000
PROFILE_PC pc=00000934 count=3000
PROFILE_PC pc=00000938 count=3000
PROFILE_PC pc=0000093c count=3000
PROFILE_PC pc=00000940 count=3000
PROFILE_PC pc=00000944 count=3000
PROFILE_PC pc=00000958 count=1000
PROFILE_PC pc=0000095c count=1000
PROFILE_PC pc=00000960 count=1000
PROFILE_PC pc=00000964 count=1000
PROFILE_PC pc=00000968 count=1000
PROFILE_PC pc=0000096c count=1000
PROFILE_PC pc=00000970 count=1000
PROFILE_PC pc=00000974 count=1000
PROFILE_PC pc=00000978 count=1000
PROFILE_PC pc=0000097c count=1000
PROFILE_PC pc=00000980 count=1000
PROFILE_PC pc=00000984 count=1000
PROFILE_PC pc=00000988 count=1000
PROFILE_PC pc=0000098c count=1000
PROFILE_PC pc=00000990 count=1000
PROFILE_PC pc=00000994 count=1000
PROFILE_PC pc=00000998 count=1000
PROFILE_PC pc=000009ac count=1000
PROFILE_PC pc=000009b0 count=1000
PROFILE_PC pc=000009b4 count=1000
PROFILE_PC pc=000009b8 count=1000
PROFILE_PC pc=000009bc count=1000
PROFILE_PC pc=000009c0 count=1000
PROFILE_PC pc=000009c4 count=1000
PROFILE_PC pc=000009c8 count=1000
PROFILE_PC pc=000009cc count=1000
PROFILE_PC pc=000009d0 count=1000
PROFILE_PC pc=000009d4 count=1000
PROFILE_PC pc=000009d8 count=1000
PROFILE_PC pc=000009dc count=1000
PROFILE_PC pc=000009e0 count=1000
PROFILE_PC pc=000009e4 count=1000
PROFILE_PC pc=000009e8 count=1000
PROFILE_PC pc=000009ec count=1000
PROFILE_PC pc=000009f0 count=1000
PROFILE_PC pc=000009f4 count=1000
PROFILE_PC pc=000009f8 count=1000
PROFILE_PC pc=000009fc count=1000
PROFILE_PC pc=00000a00 count=1000
PROFILE_PC pc=00000a04 count=1000
PROFILE_PC pc=00000a54 count=1000
PROFILE_PC pc=00000a58 count=1000
PROFILE_PC pc=00000a5c count=1000
PROFILE_PC pc=00000a60 count=1000
PROFILE_PC pc=00000a64 count=1000
